filename;temperature;adsorptionUnits;pressureUnits;compositionType;num_of_adsorbates;adsorbent_name;total_pressure;compound_1_composition;compound_2_composition;compound_1_pressure;compound_2_pressure;compound_1_adsorption;compound_2_adsorption;compound_1;compound_2
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm1;303;mmol/g;bar;molefraction;2;Zeolite 5A;[5, 10, 20, 30, 40, 50, 60];[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7];[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7];3.5;3.5;0.0663;0.0663;Hydrogen;Carbon monoxide
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm1;303;mmol/g;bar;molefraction;2;Zeolite 5A;[5, 10, 20, 30, 40, 50, 60];[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7];[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7];7.0;7.0;0.107;0.107;Hydrogen;Carbon monoxide
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm1;303;mmol/g;bar;molefraction;2;Zeolite 5A;[5, 10, 20, 30, 40, 50, 60];[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7];[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7];14.0;14.0;0.184;0.184;Hydrogen;Carbon monoxide
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm1;303;mmol/g;bar;molefraction;2;Zeolite 5A;[5, 10, 20, 30, 40, 50, 60];[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7];[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7];21.0;21.0;0.291;0.291;Hydrogen;Carbon monoxide
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm1;303;mmol/g;bar;molefraction;2;Zeolite 5A;[5, 10, 20, 30, 40, 50, 60];[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7];[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7];28.0;28.0;0.367;0.367;Hydrogen;Carbon monoxide
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm1;303;mmol/g;bar;molefraction;2;Zeolite 5A;[5, 10, 20, 30, 40, 50, 60];[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7];[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7];35.0;35.0;0.541;0.541;Hydrogen;Carbon monoxide
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm1;303;mmol/g;bar;molefraction;2;Zeolite 5A;[5, 10, 20, 30, 40, 50, 60];[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7];[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7];42.0;42.0;0.541;0.541;Hydrogen;Carbon monoxide
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm2;303;mmol/g;bar;molefraction;2;Zeolite 5A;[30, 30, 30];[0.9296, 0.741, 0.327];[0.9296, 0.741, 0.327];27.887999999999998;27.887999999999998;0.505;0.505;Hydrogen;Carbon monoxide
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm2;303;mmol/g;bar;molefraction;2;Zeolite 5A;[30, 30, 30];[0.9296, 0.741, 0.327];[0.9296, 0.741, 0.327];22.23;22.23;0.288;0.288;Hydrogen;Carbon monoxide
10.100215214125200211052511_1060aidceat1060_3.0.co_27.Isotherm2;303;mmol/g;bar;molefraction;2;Zeolite 5A;[30, 30, 30];[0.9296, 0.741, 0.327];[0.9296, 0.741, 0.327];9.81;9.81;0.146;0.146;Hydrogen;Carbon monoxide
